country,product,n_weeks,order,naive_mae,noexog_mae,exog_mae,n_folds,exog_beats_noexog,exog_beats_naive
DE,euro95,1074,"[0, 1, 1]",39.494003851540626,38.84978674818822,31.839082126197262,4,True,True
DE,diesel,1074,"[0, 1, 1]",77.70541141456583,71.92224853195614,59.23486494700972,4,True,True
DE,heating_oil,1074,"[1, 1, 1]",58.45628501400559,60.87039576732189,43.45963800005352,4,True,True
DE,fuel_oil_1,246,"[1, 1, 1]",32.408958333333324,31.20272721088412,33.77458416676397,4,False,False
DE,lpg,1074,"[1, 1, 1]",14.554077380952371,13.100412624403008,13.139595090982166,4,False,True
FR,euro95,1074,"[1, 1, 1]",38.82614583333333,40.41492924306324,39.18765750944932,4,True,False
FR,diesel,1074,"[1, 1, 1]",84.15541666666667,92.20499633565639,80.8449996659173,4,True,True
FR,heating_oil,1074,"[1, 1, 1]",74.12003472222227,71.69829225900997,66.09974526121613,4,True,True
FR,fuel_oil_1,995,"[0, 1, 1]",19.76791666666666,19.015055370697144,19.974067673909246,4,False,False
FR,fuel_oil_2,246,"[0, 1, 1]",36.059791666666655,37.28239421090551,31.638099185544334,4,True,True
FR,lpg,1074,"[1, 1, 1]",7.604062500000023,7.705963928502918,8.364760153309891,4,False,False
IT,euro95,1073,"[1, 1, 1]",34.37150273224047,42.582968074481016,39.76850538728695,4,True,False
IT,diesel,1073,"[1, 1, 1]",69.86499999999997,84.19872109591854,84.61148863747007,4,False,False
IT,heating_oil,1073,"[1, 1, 1]",67.30806352459027,61.74761740911906,53.5932860194227,4,True,True
IT,fuel_oil_1,1073,"[0, 1, 1]",37.44520833333333,39.545276076816755,31.624616572697533,4,True,True
IT,lpg,1073,"[1, 1, 1]",13.443857923497264,35.19428855454312,33.34263145902469,4,True,False
ES,euro95,1072,"[1, 1, 1]",38.29047188772912,44.97332904366212,43.66818587034331,4,True,False
ES,diesel,1073,"[1, 1, 1]",74.63670905439577,96.57773459064938,98.34927605558958,4,False,False
ES,heating_oil,1073,"[1, 1, 1]",89.26838867139287,111.29428262108085,106.4506753776441,4,True,False
ES,fuel_oil_1,1073,"[0, 1, 1]",36.34220833333332,35.545230374387444,36.28440437312453,4,False,True
ES,lpg,1073,"[1, 1, 1]",12.751894954196382,14.13887266255717,12.437161373375293,4,True,True
NL,euro95,1074,"[1, 1, 1]",48.353875688705244,49.851576687314235,38.20151830307619,4,True,True
NL,diesel,1074,"[1, 1, 1]",89.04943353994491,83.64202532212852,72.4581689843318,4,True,True
NL,heating_oil,899,"[1, 1, 1]",111.57499999999999,111.46728541578345,108.12930254206219,4,True,True
NL,fuel_oil_1,899,"[0, 1, 1]",32.05749999999998,31.46958045057958,31.02193953679955,4,True,True
NL,lpg,1074,"[1, 1, 1]",23.980602617079885,28.763942741581573,23.288271693843285,4,True,True
BE,euro95,1073,"[1, 1, 1]",58.468357438016525,56.792746317874375,37.9002615298173,4,True,True
BE,diesel,1073,"[0, 1, 1]",100.27580061983477,96.3359138277219,75.31610414162212,4,True,True
BE,heating_oil,1073,"[1, 1, 1]",90.99457816804403,94.39002590767456,83.69772735531768,4,True,True
BE,fuel_oil_1,1073,"[0, 1, 1]",34.72729166666666,36.20714134199523,32.69178862894587,4,True,True
BE,lpg,1073,"[1, 1, 1]",53.92706783746556,57.3214537543067,49.272958096937316,4,True,True
PL,euro95,1074,"[1, 1, 1]",48.41769811490045,53.848420986845305,47.298887359079565,4,True,True
PL,diesel,1074,"[1, 1, 1]",86.15099961406011,92.1726483804874,85.76707794575871,4,True,True
PL,heating_oil,1074,"[0, 1, 1]",82.07885151180227,79.31890468729995,73.31952837335808,4,True,True
PL,fuel_oil_1,1074,"[1, 1, 1]",72.29047620426998,62.39884149673851,51.35418674103343,4,True,True
PL,fuel_oil_2,1074,"[0, 1, 1]",48.86221401039969,48.278386981812986,48.15582812024361,4,True,True
PL,lpg,1074,"[1, 1, 1]",31.162913203001587,34.40481368127078,26.805493701865952,4,True,True
AT,euro95,1072,"[1, 1, 1]",35.91812499999999,41.06420891990426,38.70611690875549,4,True,False
AT,diesel,1072,"[1, 1, 1]",74.98125000000002,67.71789867719863,64.02861703322054,4,True,True
AT,heating_oil,1072,"[1, 1, 1]",89.46916666666665,85.13499470324061,75.39308734711852,4,True,True
AT,fuel_oil_1,993,"[1, 1, 1]",17.854166666666668,16.56246352172934,15.986339297061042,4,True,True
CZ,euro95,1073,"[1, 1, 1]",29.976593776790885,29.428980007614836,25.300520981052813,4,True,True
CZ,diesel,1073,"[1, 1, 1]",70.15248912112946,67.53237084919732,61.34939717434394,4,True,True
CZ,heating_oil,1073,"[1, 1, 1]",81.12925111589561,82.29429403622964,77.4788700398525,4,True,True
CZ,fuel_oil_1,739,"[0, 1, 1]",14.325624999999999,11.910479655484597,14.310251677497625,4,False,True
CZ,fuel_oil_2,193,"[0, 1, 1]",14.249791666666667,14.525949875195105,10.742673450355763,4,True,True
CZ,lpg,1073,"[1, 1, 1]",15.344962952309025,18.203583425160005,9.960069863022333,4,True,True
PT,euro95,1074,"[1, 1, 1]",40.780064363143644,50.18740968018154,49.28430061323604,4,True,False
PT,diesel,1074,"[1, 1, 1]",73.40789295392955,77.67415467636954,73.49126609156988,4,True,False
PT,heating_oil,1074,"[1, 1, 1]",68.10026761517611,70.68719265812955,70.69853988458905,4,False,False
PT,fuel_oil_1,1074,"[1, 1, 1]",42.17208333333333,52.30274442635958,46.57843781083302,4,True,False
PT,lpg,1074,"[1, 1, 1]",16.761741192411908,39.35163904416615,36.89339017416348,4,True,False
