country,product,n_weeks_available,first_date,last_date,included
DE_,euro95,1074,2005-01-03,2026-07-06,True
DE_,diesel,1074,2005-01-03,2026-07-06,True
DE_,heating_oil,1074,2005-01-03,2026-07-06,True
DE_,fuel_oil_1,246,2005-01-03,2009-12-21,True
DE_,fuel_oil_2,0,,,False
DE_,lpg,1074,2005-01-03,2026-07-06,True
FR_,euro95,1074,2005-01-03,2026-07-06,True
FR_,diesel,1074,2005-01-03,2026-07-06,True
FR_,heating_oil,1074,2005-01-03,2026-07-06,True
FR_,fuel_oil_1,995,2005-01-03,2024-12-30,True
FR_,fuel_oil_2,246,2005-01-03,2009-12-21,True
FR_,lpg,1074,2005-01-03,2026-07-06,True
IT_,euro95,1073,2005-01-03,2026-07-06,True
IT_,diesel,1073,2005-01-03,2026-07-06,True
IT_,heating_oil,1073,2005-01-03,2026-07-06,True
IT_,fuel_oil_1,1073,2005-01-03,2026-07-06,True
IT_,fuel_oil_2,0,,,False
IT_,lpg,1073,2005-01-03,2026-07-06,True
ES_,euro95,1072,2005-01-03,2026-07-06,True
ES_,diesel,1073,2005-01-03,2026-07-06,True
ES_,heating_oil,1073,2005-01-03,2026-07-06,True
ES_,fuel_oil_1,1073,2005-01-03,2026-07-06,True
ES_,fuel_oil_2,0,,,False
ES_,lpg,1073,2005-01-03,2026-07-06,True
NL_,euro95,1074,2005-01-03,2026-07-06,True
NL_,diesel,1074,2005-01-03,2026-07-06,True
NL_,heating_oil,899,2005-01-03,2023-02-27,True
NL_,fuel_oil_1,899,2005-01-03,2023-02-27,True
NL_,fuel_oil_2,0,,,False
NL_,lpg,1074,2005-01-03,2026-07-06,True
BE_,euro95,1073,2005-01-03,2026-07-06,True
BE_,diesel,1073,2005-01-03,2026-07-06,True
BE_,heating_oil,1073,2005-01-03,2026-07-06,True
BE_,fuel_oil_1,1073,2005-01-03,2026-07-06,True
BE_,fuel_oil_2,0,,,False
BE_,lpg,1073,2005-01-03,2026-07-06,True
PL_,euro95,1074,2005-01-03,2026-07-06,True
PL_,diesel,1074,2005-01-03,2026-07-06,True
PL_,heating_oil,1074,2005-01-03,2026-07-06,True
PL_,fuel_oil_1,1074,2005-01-03,2026-07-06,True
PL_,fuel_oil_2,1074,2005-01-03,2026-07-06,True
PL_,lpg,1074,2005-01-03,2026-07-06,True
AT_,euro95,1072,2005-01-03,2026-07-06,True
AT_,diesel,1072,2005-01-03,2026-07-06,True
AT_,heating_oil,1072,2005-01-03,2026-07-06,True
AT_,fuel_oil_1,993,2005-01-03,2024-12-30,True
AT_,fuel_oil_2,0,,,False
AT_,lpg,0,,,False
CZ_,euro95,1073,2005-01-03,2026-07-06,True
CZ_,diesel,1073,2005-01-03,2026-07-06,True
CZ_,heating_oil,1073,2005-01-03,2026-07-06,True
CZ_,fuel_oil_1,739,2005-01-03,2019-12-16,True
CZ_,fuel_oil_2,193,2005-01-03,2008-11-24,True
CZ_,lpg,1073,2005-01-03,2026-07-06,True
PT_,euro95,1074,2005-01-03,2026-07-06,True
PT_,diesel,1074,2005-01-03,2026-07-06,True
PT_,heating_oil,1074,2005-01-03,2026-07-06,True
PT_,fuel_oil_1,1074,2005-01-03,2026-07-06,True
PT_,fuel_oil_2,0,,,False
PT_,lpg,1074,2005-01-03,2026-07-06,True
