country,product,current_vat_pct,vat_effective_since,current_excise_duty,excise_effective_since
DE,euro95,19.0,2021-01-01,514.1,2026-05-01
DE,diesel,19.0,2021-01-01,330.0,2026-05-01
DE,heating_oil,19.0,2021-01-01,,2026-05-01
DE,fuel_oil_1,,2021-01-01,,2026-05-01
DE,fuel_oil_2,,2021-01-01,,2026-05-01
DE,lpg,19.0,2021-01-01,,2026-05-01
FR,euro95,20.0,2014-01-01,,2026-02-01
FR,diesel,20.0,2014-01-01,,2026-02-01
FR,heating_oil,20.0,2014-01-01,163.9,2026-02-01
FR,fuel_oil_1,20.0,2014-01-01,,2026-02-01
FR,fuel_oil_2,,2014-01-01,,2026-02-01
FR,lpg,20.0,2014-01-01,,2026-02-01
IT,euro95,22.0,2013-10-01,672.9,2026-07-06
IT,diesel,22.0,2013-10-01,672.9,2026-07-06
IT,heating_oil,22.0,2013-10-01,,2026-07-06
IT,fuel_oil_1,,2013-10-01,,2026-07-06
IT,fuel_oil_2,,2013-10-01,,2026-07-06
IT,lpg,22.0,2013-10-01,147.27,2026-07-06
ES,euro95,21.0,2026-07-06,322.69,2026-07-06
ES,diesel,21.0,2026-07-06,229.0,2026-07-06
ES,heating_oil,21.0,2026-07-06,39.93,2026-07-06
ES,fuel_oil_1,21.0,2026-07-06,15.5,2026-07-06
ES,fuel_oil_2,,2026-07-06,,2026-07-06
ES,lpg,21.0,2026-07-06,34.2,2026-07-06
NL,euro95,21.0,2012-10-01,840.0,2026-01-01
NL,diesel,21.0,2012-10-01,550.0,2026-01-01
NL,heating_oil,21.0,2012-10-01,,2026-01-01
NL,fuel_oil_1,21.0,2012-10-01,,2026-01-01
NL,fuel_oil_2,,2012-10-01,,2026-01-01
NL,lpg,21.0,2012-10-01,200.0,2026-01-01
BE,euro95,21.0,1996-01-01,,2024-04-01
BE,diesel,21.0,1996-01-01,,2024-04-01
BE,heating_oil,21.0,1996-01-01,17.26,2024-04-01
BE,fuel_oil_1,21.0,1996-01-01,,2024-04-01
BE,fuel_oil_2,,1996-01-01,,2024-04-01
BE,lpg,21.0,1996-01-01,,2024-04-01
PL,euro95,8.0,2026-03-01,1819.29,2026-06-16
PL,diesel,8.0,2026-03-01,1693.52,2026-06-16
PL,heating_oil,,2026-03-01,,2026-06-16
PL,fuel_oil_1,,2026-03-01,,2026-06-16
PL,fuel_oil_2,,2026-03-01,,2026-06-16
PL,lpg,,2026-03-01,,2026-06-16
AT,euro95,20.0,1995-01-01,474.0,2026-07-06
AT,diesel,20.0,1995-01-01,389.0,2026-07-06
AT,heating_oil,20.0,1995-01-01,,2026-07-06
AT,fuel_oil_1,20.0,1995-01-01,,2026-07-06
AT,fuel_oil_2,,1995-01-01,,2026-07-06
AT,lpg,,1995-01-01,,2026-07-06
CZ,euro95,21.0,2013-01-01,,2026-07-27
CZ,diesel,21.0,2013-01-01,9950.0,2026-07-27
CZ,heating_oil,21.0,2013-01-01,,2026-07-27
CZ,fuel_oil_1,21.0,2013-01-01,,2026-07-27
CZ,fuel_oil_2,,2013-01-01,,2026-07-27
CZ,lpg,21.0,2013-01-01,,2026-07-27
PT,euro95,,2012-01-01,442.52,2026-07-27
PT,diesel,,2012-01-01,286.35,2026-07-27
PT,heating_oil,23.0,2012-01-01,,2026-07-27
PT,fuel_oil_1,,2012-01-01,,2026-07-27
PT,fuel_oil_2,,2012-01-01,,2026-07-27
PT,lpg,,2012-01-01,,2026-07-27
