country,product,target_date,snapshot_taken_on,horizon_weeks,model_used,price_with_tax_forecast,price_wo_tax_forecast,price_with_tax_lower80,price_with_tax_upper80
AT,diesel,2026-07-13,2026-08-03,-3,gbm,1716.2792624663164,893.0892624663163,1684.123321724052,1753.389784893036
AT,diesel,2026-07-20,2026-08-03,-2,gbm,1714.4211722125,891.2311722124998,1684.123321724052,1753.389784893036
AT,diesel,2026-07-27,2026-08-03,-1,gbm,1713.1319910783068,889.9419910783068,1683.2808511865749,1754.6391776712792
AT,diesel,2026-08-03,2026-08-03,0,gbm,1736.1877397524934,912.9977397524932,1687.0808888941606,1759.442620835267
AT,diesel,2026-08-10,2026-08-03,1,gbm,1734.0745626056005,910.8845626056004,1685.6392996563206,1759.5102772852863
AT,diesel,2026-08-17,2026-08-03,2,gbm,1732.386895655382,909.196895655382,1684.3920447689038,1757.4512625481304
AT,diesel,2026-08-24,2026-08-03,3,gbm,1725.928636543069,902.738636543069,1682.5845500761184,1756.9876709838302
AT,diesel,2026-08-31,2026-08-03,4,gbm,1717.7322299387804,894.5422299387803,1682.5845500761184,1753.4674206609493
AT,diesel,2026-09-07,2026-08-03,5,gbm,1743.5839798578943,920.3939798578942,1678.4909912364317,1771.5427997559857
AT,diesel,2026-09-14,2026-08-03,6,gbm,1738.4427616504258,915.252761650426,1676.5137615827855,1771.5427997559857
AT,diesel,2026-09-21,2026-08-03,7,gbm,1736.596993379901,913.4069933799012,1675.780127008001,1770.8660953506587
AT,diesel,2026-09-28,2026-08-03,8,gbm,1736.596993379901,913.4069933799012,1673.9991122404017,1771.9253586426366
AT,diesel,2026-10-05,2026-08-05,9,gbm,1938.0977362417275,1061.4077362417274,1757.5884621940663,1946.6777888447425
AT,diesel,2026-10-12,2026-08-05,10,gbm,1937.71904256457,1061.02904256457,1757.6346155585425,1948.0304694043648
AT,diesel,2026-10-19,2026-08-05,11,gbm,1938.563916501353,1061.873916501353,1757.2686088823775,1948.1774720568187
AT,euro95,2026-07-13,2026-08-03,-3,sarimax,1687.566713823285,800.296713823285,1663.2168225337498,1711.9166051128202
AT,euro95,2026-07-20,2026-08-03,-2,sarimax,1688.3763189726917,801.1063189726916,1651.1957985297406,1725.5568394156426
AT,euro95,2026-07-27,2026-08-03,-1,sarimax,1688.7946854211164,801.5246854211164,1640.9988193322906,1736.590551509942
AT,euro95,2026-08-03,2026-08-03,0,sarimax,1690.3387077302766,803.0687077302766,1633.350865205689,1747.3265502548643
AT,euro95,2026-08-10,2026-08-03,1,sarimax,1690.4504259538387,803.1804259538387,1625.3109578599906,1755.5898940476868
AT,euro95,2026-08-17,2026-08-03,2,sarimax,1690.5081567581085,803.2381567581082,1618.0124903049527,1763.0038232112638
AT,euro95,2026-08-24,2026-08-03,3,sarimax,1690.537989364243,803.2679893642429,1611.311097908686,1769.7648808198
AT,euro95,2026-08-31,2026-08-03,4,sarimax,1690.5534054735465,803.2834054735463,1605.0973046410086,1776.009506306084
AT,euro95,2026-09-07,2026-08-03,5,sarimax,1690.6607172516278,803.390717251628,1599.3866596935904,1781.9347748096654
AT,euro95,2026-09-14,2026-08-03,6,sarimax,1690.6648338827586,803.3948338827587,1593.915754052225,1787.413913713292
AT,euro95,2026-09-21,2026-08-03,7,sarimax,1690.666961167086,803.3969611670859,1588.7334176013835,1792.600504732788
AT,euro95,2026-09-28,2026-08-03,8,sarimax,1690.6680604491116,803.3980604491118,1583.7997451293777,1797.5363757688456
AT,euro95,2026-10-05,2026-08-05,9,sarimax,1895.0246408473824,976.424640847382,1795.9966682310078,1994.0526134637569
AT,euro95,2026-10-12,2026-08-05,10,sarimax,1895.0348303780568,976.4348303780577,1790.6928232602177,1999.3768374958968
AT,euro95,2026-10-19,2026-08-05,11,sarimax,1895.0399269397287,976.4399269397296,1785.640480475151,2004.4393734043083
AT,fuel_oil_1,2025-01-06,2026-08-03,-82,sarimax,771.6957724264812,554.5057724264811,752.3343476967962,791.0571971561662
AT,fuel_oil_1,2025-01-13,2026-08-03,-81,sarimax,771.6966041464883,554.5066041464883,743.1217086334785,800.2714996594981
AT,fuel_oil_1,2025-01-20,2026-08-03,-80,sarimax,771.6962516829961,554.5062516829961,736.6361594312432,806.7563439347491
AT,fuel_oil_1,2025-01-27,2026-08-03,-79,sarimax,771.6964010487831,554.506401048783,731.02633618155,812.3664659160161
AT,fuel_oil_1,2025-02-03,2026-08-03,-78,sarimax,770.7199347005736,553.5299347005736,725.1817730997249,816.2580963014223
AT,fuel_oil_1,2025-02-10,2026-08-03,-77,sarimax,770.7199615246708,553.5299615246707,720.7641515618017,820.6757714875399
AT,fuel_oil_1,2025-02-17,2026-08-03,-76,sarimax,770.7199501572455,553.5299501572455,716.7151959390523,824.7247043754388
AT,fuel_oil_1,2025-02-24,2026-08-03,-75,sarimax,770.7199549744946,553.5299549744946,712.9459361038084,828.4939738451808
AT,fuel_oil_1,2025-03-03,2026-08-03,-74,sarimax,769.8310381766847,552.6410381766847,708.5203999272978,831.1416764260716
AT,fuel_oil_1,2025-03-10,2026-08-03,-73,sarimax,769.8310390417981,552.6410390417981,705.1764019583649,834.4856761252313
AT,fuel_oil_1,2025-03-17,2026-08-03,-72,sarimax,769.8310386751833,552.6410386751833,701.9972720164265,837.6648053339402
AT,fuel_oil_1,2025-03-24,2026-08-03,-71,sarimax,769.831038830546,552.641038830546,698.9605203774017,840.7015572836904
AT,heating_oil,2026-07-13,2026-08-03,-3,gbm,1294.9082707367454,821.4182707367454,1231.9942676953071,1370.3710819473868
AT,heating_oil,2026-07-20,2026-08-03,-2,gbm,1294.2386581312708,820.7486581312706,1231.9942676953071,1370.3710819473868
AT,heating_oil,2026-07-27,2026-08-03,-1,gbm,1290.570409704596,817.080409704596,1231.9942676953071,1369.819688515393
AT,heating_oil,2026-08-03,2026-08-03,0,gbm,1313.3934689101925,839.9034689101923,1243.676459227229,1370.7106487939946
AT,heating_oil,2026-08-10,2026-08-03,1,gbm,1312.8765471456877,839.3865471456876,1242.094085004053,1369.5502579036092
AT,heating_oil,2026-08-17,2026-08-03,2,gbm,1309.7713466982875,836.2813466982878,1241.719170860699,1369.9010499356464
AT,heating_oil,2026-08-24,2026-08-03,3,gbm,1307.636077150816,834.1460771508159,1240.2782515517745,1369.8008245420424
AT,heating_oil,2026-08-31,2026-08-03,4,gbm,1307.7422608932256,834.2522608932256,1237.081581692703,1367.4491976645722
AT,heating_oil,2026-09-07,2026-08-03,5,gbm,1324.1643615702296,850.6743615702297,1237.3801831454812,1385.2025896026448
AT,heating_oil,2026-09-14,2026-08-03,6,gbm,1321.230316781239,847.740316781239,1235.4150268184626,1385.2994345923394
AT,heating_oil,2026-09-21,2026-08-03,7,gbm,1321.230316781239,847.740316781239,1231.472983816519,1385.3008598859092
AT,heating_oil,2026-09-28,2026-08-03,8,gbm,1321.230316781239,847.740316781239,1230.2185680233042,1385.4879200012388
AT,heating_oil,2026-10-05,2026-08-05,9,gbm,1528.9558897890215,1007.5958897890214,1386.986414605229,1564.0211648568804
AT,heating_oil,2026-10-12,2026-08-05,10,gbm,1528.3580704607675,1006.9980704607672,1386.325500568847,1563.938133121345
AT,heating_oil,2026-10-19,2026-08-05,11,gbm,1528.3580704607675,1006.9980704607672,1384.567160448746,1563.81459709503
BE,diesel,2026-07-13,2026-08-03,-3,gbm,1883.433092967416,957.215649992209,1789.9374181059486,1922.948533879905
BE,diesel,2026-07-20,2026-08-03,-2,gbm,1883.433092967416,957.215649992209,1789.9374181059486,1922.948533879905
BE,diesel,2026-07-27,2026-08-03,-1,gbm,1885.130738925544,958.9132959503372,1789.9374181059486,1919.9831933707912
BE,diesel,2026-08-03,2026-08-03,0,gbm,1892.4681681764823,966.250725201276,1788.075713930717,1942.733362678297
BE,diesel,2026-08-10,2026-08-03,1,gbm,1893.099240206472,966.8817972312652,1787.2361629542256,1937.811719445127
BE,diesel,2026-08-17,2026-08-03,2,gbm,1889.8732839425857,963.6558409673792,1786.6949111989532,1937.2333034617768
BE,diesel,2026-08-24,2026-08-03,3,gbm,1886.983280223065,960.7658372478588,1786.6949111989532,1942.4752932264807
BE,diesel,2026-08-31,2026-08-03,4,gbm,1882.2509682823568,956.0335253071512,1785.3412660257025,1941.2681640330457
BE,diesel,2026-09-07,2026-08-03,5,gbm,1890.55633874853,964.3388957733237,1785.276720701214,1942.8729029044853
BE,diesel,2026-09-14,2026-08-03,6,gbm,1883.6447650629943,957.4273220877878,1783.841575977718,1942.8729029044853
BE,diesel,2026-09-21,2026-08-03,7,gbm,1877.9041779508648,951.6867349756589,1783.647738405354,1941.464531238602
BE,diesel,2026-09-28,2026-08-03,8,gbm,1875.985012639193,949.7675696639868,1782.1234143125823,1942.2502110455243
BE,diesel,2026-10-05,2026-08-05,9,gbm,2041.914951317896,1070.202136441863,1899.4972309644268,2117.001281597883
BE,diesel,2026-10-12,2026-08-05,10,gbm,2041.6531337408248,1069.9403188647918,1899.435990326118,2116.412783832334
BE,diesel,2026-10-19,2026-08-05,11,gbm,2041.197645789938,1069.484830913905,1898.0800619824795,2116.831743067284
BE,euro95,2026-07-13,2026-08-03,-3,sarimax,1735.3816196629195,835.1589527207709,1699.076804204315,1771.686435121524
BE,euro95,2026-07-20,2026-08-03,-2,sarimax,1737.1981287538565,836.9754618117079,1691.1529950302645,1783.2432624774488
BE,euro95,2026-07-27,2026-08-03,-1,sarimax,1737.7103765191896,837.4877095770411,1684.7970474481924,1790.623705590187
