country,product,date,price_with_tax,price_wo_tax,is_forecast,price_with_tax_lower80,price_with_tax_upper80
AT,diesel,2005-01-03,859.0,405.69,False,,
AT,diesel,2005-01-10,851.0,399.03,False,,
AT,diesel,2005-01-17,836.0,386.53,False,,
AT,diesel,2005-01-24,840.0,389.86,False,,
AT,diesel,2005-01-31,855.0,402.36,False,,
AT,diesel,2005-02-07,854.0,401.53,False,,
AT,diesel,2005-02-14,840.0,389.86,False,,
AT,diesel,2005-02-21,850.0,398.19,False,,
AT,diesel,2005-02-28,853.0,400.69,False,,
AT,diesel,2005-03-07,865.0,410.69,False,,
AT,diesel,2005-03-14,878.0,421.53,False,,
AT,diesel,2005-03-21,893.0,434.03,False,,
AT,diesel,2005-04-04,923.0,458.18,False,,
AT,diesel,2005-04-11,948.0,479.01,False,,
AT,diesel,2005-04-18,939.0,471.51,False,,
AT,diesel,2005-04-25,932.0,465.68,False,,
AT,diesel,2005-05-02,931.0,464.84,False,,
AT,diesel,2005-05-09,930.0,464.01,False,,
AT,diesel,2005-05-16,922.0,457.34,False,,
AT,diesel,2005-05-23,915.0,451.51,False,,
AT,diesel,2005-05-30,916.0,452.34,False,,
AT,diesel,2005-06-06,937.0,469.84,False,,
AT,diesel,2005-06-13,940.0,472.34,False,,
AT,diesel,2005-06-20,946.0,477.34,False,,
AT,diesel,2005-06-27,961.0,489.84,False,,
AT,diesel,2005-07-04,966.0,494.01,False,,
AT,diesel,2005-07-11,1003.0,524.84,False,,
AT,diesel,2005-07-18,990.0,514.01,False,,
AT,diesel,2005-07-25,981.0,506.51,False,,
AT,diesel,2005-08-01,980.0,505.68,False,,
AT,diesel,2005-08-08,984.0,509.01,False,,
AT,diesel,2005-08-15,984.0,509.01,False,,
AT,diesel,2005-08-22,1013.0,533.18,False,,
AT,diesel,2005-08-29,1018.0,537.34,False,,
AT,diesel,2005-09-05,1047.0,561.51,False,,
AT,diesel,2005-09-12,1038.0,554.01,False,,
AT,diesel,2005-09-19,1022.0,540.68,False,,
AT,diesel,2005-09-26,1016.0,535.68,False,,
AT,diesel,2005-10-03,1021.0,516.84,False,,
AT,diesel,2005-10-10,1027.0,521.84,False,,
AT,diesel,2005-10-17,1029.0,523.51,False,,
AT,diesel,2005-10-24,1021.0,516.84,False,,
AT,diesel,2005-11-07,1005.0,503.51,False,,
AT,diesel,2005-11-14,991.0,491.84,False,,
AT,diesel,2005-11-21,986.0,487.68,False,,
AT,diesel,2005-11-28,983.0,485.18,False,,
AT,diesel,2005-12-05,969.0,473.51,False,,
AT,diesel,2005-12-12,974.0,477.68,False,,
AT,diesel,2005-12-19,975.0,478.51,False,,
AT,diesel,2006-01-09,978.0,481.01,False,,
AT,diesel,2006-01-16,973.0,476.84,False,,
AT,diesel,2006-01-23,979.0,481.84,False,,
AT,diesel,2006-01-30,986.0,487.68,False,,
AT,diesel,2006-02-06,992.0,492.68,False,,
AT,diesel,2006-02-13,988.0,489.34,False,,
AT,diesel,2006-02-20,971.0,475.18,False,,
AT,diesel,2006-02-27,976.0,479.34,False,,
AT,diesel,2006-03-06,983.0,485.18,False,,
AT,diesel,2006-03-13,993.0,493.51,False,,
AT,diesel,2006-03-20,1001.0,500.18,False,,
AT,diesel,2006-03-27,999.0,498.51,False,,
AT,diesel,2006-04-03,1018.0,513.01,False,,
AT,diesel,2006-04-10,1024.0,518.01,False,,
AT,diesel,2006-04-24,1053.0,542.18,False,,
AT,diesel,2006-05-01,1053.0,542.18,False,,
AT,diesel,2006-05-08,1051.0,540.51,False,,
AT,diesel,2006-05-15,1044.0,534.68,False,,
AT,diesel,2006-05-22,1039.0,530.51,False,,
AT,diesel,2006-05-29,1036.0,528.01,False,,
AT,diesel,2006-06-05,1044.0,534.68,False,,
AT,diesel,2006-06-12,1054.0,543.01,False,,
AT,diesel,2006-06-19,1043.0,533.85,False,,
AT,diesel,2006-06-26,1031.0,523.85,False,,
AT,diesel,2006-07-03,1044.0,534.68,False,,
AT,diesel,2006-07-10,1045.0,535.51,False,,
AT,diesel,2006-07-17,1048.0,538.01,False,,
AT,diesel,2006-07-24,1047.0,537.18,False,,
AT,diesel,2006-07-31,1044.0,534.68,False,,
AT,diesel,2006-08-07,1067.0,553.85,False,,
AT,diesel,2006-08-14,1079.0,563.85,False,,
AT,diesel,2006-08-21,1061.0,548.85,False,,
AT,diesel,2006-08-28,1045.0,535.51,False,,
AT,diesel,2006-09-04,1045.0,535.51,False,,
AT,diesel,2006-09-11,1025.0,518.85,False,,
AT,diesel,2006-09-18,1005.0,502.18,False,,
AT,diesel,2006-09-25,982.0,483.01,False,,
AT,diesel,2006-10-02,955.0,460.51,False,,
AT,diesel,2006-10-09,972.0,474.68,False,,
AT,diesel,2006-10-16,978.0,479.68,False,,
AT,diesel,2006-10-23,981.0,482.18,False,,
AT,diesel,2006-10-30,969.0,472.18,False,,
AT,diesel,2006-11-06,969.0,472.18,False,,
AT,diesel,2006-11-13,965.0,468.85,False,,
AT,diesel,2006-11-20,962.0,466.35,False,,
AT,diesel,2006-11-27,962.0,466.35,False,,
AT,diesel,2006-12-04,960.0,464.68,False,,
AT,diesel,2006-12-11,967.0,470.51,False,,
AT,diesel,2006-12-18,967.0,470.51,False,,
AT,diesel,2007-01-08,958.0,463.01,False,,
AT,diesel,2007-01-15,935.0,443.85,False,,
AT,diesel,2007-01-22,926.0,436.35,False,,
AT,diesel,2007-01-29,925.0,435.51,False,,
AT,diesel,2007-02-05,929.0,438.85,False,,
AT,diesel,2007-02-12,936.0,444.68,False,,
AT,diesel,2007-02-19,945.0,452.18,False,,
AT,diesel,2007-02-26,943.0,450.51,False,,
AT,diesel,2007-03-05,958.0,463.01,False,,
AT,diesel,2007-03-12,964.0,468.01,False,,
AT,diesel,2007-03-19,963.0,467.18,False,,
AT,diesel,2007-03-26,957.0,462.18,False,,
AT,diesel,2007-04-02,971.0,473.85,False,,
AT,diesel,2007-04-16,983.0,483.85,False,,
AT,diesel,2007-04-23,987.0,487.18,False,,
AT,diesel,2007-04-30,990.0,489.68,False,,
AT,diesel,2007-05-07,996.0,494.68,False,,
AT,diesel,2007-05-14,990.0,489.68,False,,
AT,diesel,2007-05-21,989.0,488.85,False,,
AT,diesel,2007-05-28,985.0,485.51,False,,
AT,diesel,2007-06-04,979.0,480.51,False,,
AT,diesel,2007-06-11,979.0,480.51,False,,
AT,diesel,2007-06-18,990.0,489.68,False,,
AT,diesel,2007-06-25,992.0,491.35,False,,
AT,diesel,2007-07-02,1054.0,493.01,False,,
AT,diesel,2007-07-09,1052.0,491.35,False,,
AT,diesel,2007-07-16,1057.0,495.51,False,,
AT,diesel,2007-07-23,1059.0,497.18,False,,
AT,diesel,2007-07-30,1057.0,495.51,False,,
AT,diesel,2007-08-06,1054.0,493.01,False,,
AT,diesel,2007-08-13,1049.0,488.85,False,,
AT,diesel,2007-08-20,1050.0,489.68,False,,
AT,diesel,2007-08-27,1045.0,485.51,False,,
AT,diesel,2007-09-03,1040.0,481.35,False,,
AT,diesel,2007-09-10,1067.0,503.85,False,,
AT,diesel,2007-09-17,1088.0,521.35,False,,
AT,diesel,2007-09-24,1103.0,533.85,False,,
AT,diesel,2007-10-01,1103.0,533.85,False,,
AT,diesel,2007-10-08,1081.0,515.51,False,,
AT,diesel,2007-10-15,1076.0,511.35,False,,
AT,diesel,2007-10-22,1096.0,528.01,False,,
AT,diesel,2007-10-29,1104.0,534.68,False,,
AT,diesel,2007-11-05,1141.0,565.51,False,,
AT,diesel,2007-11-12,1195.0,610.51,False,,
AT,diesel,2007-11-19,1185.0,602.18,False,,
AT,diesel,2007-11-26,1204.0,618.01,False,,
AT,diesel,2007-12-03,1196.0,611.35,False,,
AT,diesel,2007-12-10,1180.0,598.01,False,,
AT,diesel,2007-12-17,1179.0,597.18,False,,
AT,diesel,2008-01-07,1180.0,598.01,False,,
AT,diesel,2008-01-14,1182.0,599.68,False,,
AT,diesel,2008-01-21,1156.0,578.01,False,,
AT,diesel,2008-01-28,1151.0,573.85,False,,
AT,diesel,2008-02-04,1160.0,581.35,False,,
AT,diesel,2008-02-11,1143.0,567.18,False,,
AT,diesel,2008-02-18,1192.0,608.01,False,,
AT,diesel,2008-02-25,1202.0,616.35,False,,
AT,diesel,2008-03-03,1189.0,605.51,False,,
AT,diesel,2008-03-10,1205.0,618.85,False,,
AT,diesel,2008-03-17,1250.0,656.35,False,,
AT,diesel,2008-03-31,1233.0,642.18,False,,
AT,diesel,2008-04-07,1224.0,633.58,False,,
AT,diesel,2008-04-14,1248.0,653.58,False,,
AT,diesel,2008-04-21,1248.0,653.58,False,,
AT,diesel,2008-04-28,1270.0,671.91,False,,
AT,diesel,2008-05-05,1288.0,686.91,False,,
AT,diesel,2008-05-12,1308.0,703.58,False,,
AT,diesel,2008-05-19,1367.0,752.75,False,,
AT,diesel,2008-05-26,1382.0,765.25,False,,
AT,diesel,2008-06-02,1397.0,777.75,False,,
AT,diesel,2008-06-09,1386.0,768.58,False,,
AT,diesel,2008-06-16,1404.0,783.58,False,,
AT,diesel,2008-06-23,1384.0,766.91,False,,
AT,diesel,2008-06-30,1431.0,806.08,False,,
AT,diesel,2008-07-07,1433.0,807.75,False,,
AT,diesel,2008-07-14,1423.0,799.41,False,,
AT,diesel,2008-07-21,1397.0,777.75,False,,
AT,diesel,2008-07-28,1380.0,763.58,False,,
AT,diesel,2008-08-04,1354.0,741.91,False,,
AT,diesel,2008-08-11,1323.0,716.08,False,,
AT,diesel,2008-08-18,1298.0,695.25,False,,
AT,diesel,2008-08-25,1308.0,703.58,False,,
AT,diesel,2008-09-01,1328.0,720.25,False,,
AT,diesel,2008-09-08,1285.0,684.41,False,,
AT,diesel,2008-09-15,1269.0,671.08,False,,
