Product ID,Product Category,Reorder Level
PRD-0047,Packaging Materials,485
PRD-0002,Packaging Materials,131
PRD-0054,Electronics,337
PRD-0007,Automotive Parts,339
PRD-0053,Consumer Goods,358
PRD-0058,Consumer Goods,112
PRD-0009,Automotive Parts,476
PRD-0013,Packaging Materials,53
PRD-0060,Automotive Parts,265
PRD-0006,Raw Materials,162
PRD-0048,Electronics,435
PRD-0003,Industrial Equipment,450
PRD-0038,Consumer Goods,339
PRD-0016,Electronics,285
PRD-0023,Packaging Materials,231
PRD-0043,Consumer Goods,421
PRD-0044,Electronics,291
PRD-0031,Electronics,157
PRD-0051,Automotive Parts,402
PRD-0011,Packaging Materials,177
PRD-0037,Automotive Parts,332
PRD-0019,Electronics,91
PRD-0055,Packaging Materials,162
PRD-0026,Consumer Goods,94
PRD-0040,Consumer Goods,400
PRD-0020,Industrial Equipment,425
PRD-0017,Industrial Equipment,452
PRD-0021,Packaging Materials,98
PRD-0028,Automotive Parts,429
PRD-0030,Raw Materials,456
PRD-0046,Industrial Equipment,281
PRD-0052,Automotive Parts,223
PRD-0018,Raw Materials,95
PRD-0025,Packaging Materials,360
PRD-0005,Packaging Materials,152
PRD-0022,Automotive Parts,73
PRD-0049,Automotive Parts,425
PRD-0001,Industrial Equipment,271
PRD-0059,Packaging Materials,245
PRD-0027,Consumer Goods,426
PRD-0032,Packaging Materials,490
PRD-0014,Automotive Parts,218
PRD-0050,Industrial Equipment,258
PRD-0033,Industrial Equipment,194
PRD-0045,Packaging Materials,195
PRD-0034,Packaging Materials,410
PRD-0041,Electronics,382
PRD-0056,Electronics,169
PRD-0010,Packaging Materials,237
PRD-0008,Packaging Materials,307
PRD-0042,Consumer Goods,110
PRD-0004,Automotive Parts,156
PRD-0024,Automotive Parts,466
PRD-0036,Industrial Equipment,400
PRD-0035,Consumer Goods,310
PRD-0029,Industrial Equipment,410
PRD-0012,Industrial Equipment,72
PRD-0039,Electronics,327
PRD-0057,Automotive Parts,77
PRD-0015,Electronics,466
