Product ID,Product Category,Avg_Lead_Time,Avg_Sales_Qty,Reorder_Level,Avg_Inventory,Stockout_Risk_Score,Risk_Tier
PRD-0048,Electronics,29.045161290322582,28.858064516129033,435,505.5870967741935,0.696,High
PRD-0039,Electronics,28.497076023391813,21.13450292397661,327,392.35087719298247,0.671,High
PRD-0006,Raw Materials,26.965753424657535,11.26027397260274,162,185.72602739726028,0.638,High
PRD-0003,Industrial Equipment,26.867549668874172,29.185430463576157,450,548.7682119205298,0.628,High
PRD-0007,Automotive Parts,27.08433734939759,21.656626506024097,339,401.8975903614458,0.628,High
PRD-0030,Raw Materials,26.08609271523179,29.205298013245034,456,552.0529801324503,0.621,High
PRD-0009,Automotive Parts,24.763975155279503,31.565217391304348,476,581.0062111801242,0.616,High
PRD-0001,Industrial Equipment,25.074074074074073,17.882716049382715,271,329.19135802469134,0.607,High
PRD-0053,Consumer Goods,24.84713375796178,22.770700636942674,358,434.38853503184714,0.602,High
PRD-0020,Industrial Equipment,26.084848484848486,27.903030303030302,425,518.1757575757575,0.602,High
PRD-0036,Industrial Equipment,26.355704697986578,25.48993288590604,400,493.7046979865772,0.601,High
PRD-0031,Electronics,25.835526315789473,10.230263157894736,157,189.17763157894737,0.599,Medium
PRD-0034,Packaging Materials,26.305732484076433,26.133757961783438,410,500.9299363057325,0.589,Medium
PRD-0008,Packaging Materials,26.706349206349206,19.333333333333332,307,375.92857142857144,0.586,Medium
PRD-0044,Electronics,25.066225165562916,18.635761589403973,291,359.4370860927152,0.583,Medium
PRD-0040,Consumer Goods,25.08783783783784,25.81756756756757,400,496.27027027027026,0.577,Medium
PRD-0038,Consumer Goods,24.774193548387096,22.496774193548386,339,416.7225806451613,0.568,Medium
PRD-0026,Consumer Goods,25.851612903225806,6.2,94,113.53548387096774,0.563,Medium
PRD-0060,Automotive Parts,24.670731707317074,15.615853658536585,265,323.4024390243902,0.557,Medium
PRD-0013,Packaging Materials,24.98181818181818,3.412121212121212,53,63.527272727272724,0.544,Medium
PRD-0050,Industrial Equipment,21.04054054054054,16.344594594594593,258,319.7972972972973,0.529,Medium
PRD-0045,Packaging Materials,21.076433121019107,12.853503184713375,195,238.17834394904457,0.517,Medium
PRD-0010,Packaging Materials,21.175182481751825,15.175182481751825,237,302.77372262773724,0.503,Medium
PRD-0055,Packaging Materials,20.972027972027973,9.86013986013986,162,211.01398601398603,0.478,Medium
PRD-0047,Packaging Materials,18.45774647887324,31.345070422535212,485,635.0704225352113,0.47,Medium
PRD-0059,Packaging Materials,17.786666666666665,15.96,245,317.20666666666665,0.453,Medium
PRD-0037,Automotive Parts,18.452229299363058,21.598726114649683,332,436.7388535031847,0.447,Medium
PRD-0054,Electronics,18.320987654320987,21.808641975308642,337,431.9382716049383,0.442,Medium
PRD-0005,Packaging Materials,17.55072463768116,9.818840579710145,152,200.31159420289856,0.438,Medium
PRD-0029,Industrial Equipment,16.85276073619632,26.134969325153374,410,540.036809815951,0.427,Medium
PRD-0018,Raw Materials,17.103174603174605,6.515873015873016,95,124.2063492063492,0.424,Medium
PRD-0046,Industrial Equipment,17.031446540880502,17.729559748427672,281,365.20754716981133,0.424,Medium
PRD-0033,Industrial Equipment,16.958041958041957,12.356643356643357,194,255.52447552447552,0.423,Medium
PRD-0028,Automotive Parts,14.89261744966443,26.590604026845636,429,572.3288590604027,0.403,Medium
PRD-0025,Packaging Materials,14.705882352941176,23.84967320261438,360,481.9281045751634,0.402,Medium
PRD-0027,Consumer Goods,14.8796992481203,28.13533834586466,426,564.3533834586466,0.401,Medium
PRD-0051,Automotive Parts,15.134228187919463,27.456375838926174,402,522.9395973154362,0.39,Low
PRD-0049,Automotive Parts,15.251533742331288,27.895705521472394,425,571.7975460122699,0.388,Low
PRD-0043,Consumer Goods,14.95774647887324,28.08450704225352,421,563.7535211267606,0.375,Low
PRD-0011,Packaging Materials,15.0,11.37410071942446,177,236.0863309352518,0.372,Low
PRD-0002,Packaging Materials,15.098360655737705,8.40983606557377,131,170.4016393442623,0.364,Low
PRD-0058,Consumer Goods,15.186746987951807,7.753012048192771,112,146.89156626506025,0.363,Low
PRD-0015,Electronics,15.22360248447205,29.84472049689441,466,620.4596273291926,0.355,Low
PRD-0041,Electronics,12.10135135135135,25.155405405405407,382,509.8783783783784,0.349,Low
PRD-0019,Electronics,14.895104895104895,6.027972027972028,91,123.74125874125875,0.345,Low
PRD-0057,Automotive Parts,15.024242424242424,5.0,77,104.27878787878788,0.333,Low
PRD-0022,Automotive Parts,15.013157894736842,4.927631578947368,73,97.28289473684211,0.33,Low
PRD-0056,Electronics,14.724550898203592,10.347305389221557,169,231.52095808383234,0.33,Low
PRD-0042,Consumer Goods,12.073333333333334,7.3,110,143.85333333333332,0.329,Low
PRD-0012,Industrial Equipment,14.651515151515152,4.386363636363637,72,98.10606060606061,0.329,Low
PRD-0032,Packaging Materials,11.898550724637682,31.41304347826087,490,661.3768115942029,0.319,Low
PRD-0024,Automotive Parts,12.145299145299145,29.555555555555557,466,623.7606837606837,0.313,Low
PRD-0021,Packaging Materials,12.12751677852349,6.436241610738255,98,130.81879194630872,0.313,Low
