Order ID,Order Date,Product ID,Product Category,Supplier,Warehouse,Inventory Quantity,Reorder Level,Lead Time,Transportation Cost,Delivery Date,Delivery Delay (Days),Sales Quantity,Sales Revenue,Customer Region,Customer ID,Order Status,Purchase Cost,Profit Margin,Is On-Time,Is Stockout Risk
ORD-101700,2023-01-01 10:54:29,PRD-0047,Packaging Materials,Supplier-10,WH-Central,804,485,11,271.6,2023-01-12 10:54:29,0,32,21158.05,Middle East & Africa,CUST-00905,Delivered,13719.97,0.3515,True,False
ORD-105576,2023-01-01 13:37:57,PRD-0002,Packaging Materials,Supplier-16,WH-South,160,131,12,143.27,2023-01-13 13:37:57,0,7,1683.87,Asia Pacific,CUST-00468,Delivered,1380.62,0.1801,True,False
ORD-100094,2023-01-01 13:37:57,PRD-0054,Electronics,Supplier-10,WH-South,578,337,11,246.96,2023-01-12 13:37:57,0,18,8643.78,North America,CUST-00515,Delivered,6025.23,0.3029,True,False
ORD-102353,2023-01-01 16:52:47,PRD-0007,Automotive Parts,Supplier-05,WH-East,483,339,27,575.49,2023-01-28 16:52:47,0,24,6660.2,Latin America,CUST-00692,Delivered,4964.39,0.2546,True,False
ORD-103455,2023-01-01 16:52:47,PRD-0053,Consumer Goods,Supplier-18,WH-West,414,358,25,265.78,2023-01-26 16:52:47,0,18,3757.59,Middle East & Africa,CUST-00594,Delivered,2448.36,0.3484,True,False
ORD-102798,2023-01-01 16:52:47,PRD-0058,Consumer Goods,Supplier-16,WH-South,195,112,18,205.73,2023-01-19 16:52:47,3,9,3341.38,North America,CUST-00869,Delivered,2270.55,0.3205,False,False
ORD-102234,2023-01-02 00:20:17,PRD-0009,Automotive Parts,Supplier-18,WH-Central,782,476,27,350.32,2023-01-29 00:20:17,2,28,1330.6,Asia Pacific,CUST-00348,Delivered,1105.68,0.169,False,False
ORD-102026,2023-01-02 02:01:01,PRD-0013,Packaging Materials,Supplier-18,WH-North,71,53,26,411.58,2023-01-28 02:01:01,1,9,2834.71,Asia Pacific,CUST-00676,Delivered,2177.19,0.232,False,False
ORD-103834,2023-01-02 02:04:55,PRD-0060,Automotive Parts,Supplier-01,WH-North,389,265,29,501.68,2023-01-31 02:04:55,4,13,5677.63,Australia & Oceania,CUST-00768,Delivered,4490.35,0.2091,False,False
ORD-101783,2023-01-02 04:03:10,PRD-0006,Raw Materials,Supplier-05,WH-West,222,162,26,395.65,2023-01-28 04:03:10,0,6,3102.44,Middle East & Africa,CUST-00086,Delayed,2435.28,0.215,True,False
ORD-102933,2023-01-02 04:03:10,PRD-0048,Electronics,Supplier-13,WH-West,364,435,31,434.7,2023-02-02 04:03:10,2,32,14540.58,Australia & Oceania,CUST-00083,Delivered,11316.41,0.2217,False,True
ORD-101239,2023-01-02 08:24:17,PRD-0003,Industrial Equipment,Supplier-05,WH-East,671,450,27,320.71,2023-01-29 08:24:17,0,23,4578.39,Asia Pacific,CUST-01324,Delivered,3455.67,0.2452,True,False
ORD-105079,2023-01-02 08:24:17,PRD-0006,Raw Materials,Supplier-05,WH-North,210,162,26,275.88,2023-01-28 08:24:17,0,12,5917.88,Europe,CUST-00868,Delivered,4870.57,0.177,True,False
ORD-105111,2023-01-02 11:28:52,PRD-0038,Consumer Goods,Supplier-01,WH-North,508,339,25,434.54,2023-01-27 11:28:52,0,22,4304.85,Australia & Oceania,CUST-01299,Delivered,2639.53,0.3868,True,False
ORD-107876,2023-01-02 19:38:36,PRD-0016,Electronics,Supplier-02,WH-East,403,285,2,54.34,2023-01-04 19:38:36,0,16,2752.74,Asia Pacific,CUST-00153,Delivered,2079.8,0.2445,True,False
ORD-105010,2023-01-02 19:38:36,PRD-0023,Packaging Materials,Supplier-06,WH-South,277,231,10,141.3,2023-01-12 19:38:36,0,23,6623.14,Middle East & Africa,CUST-00524,Delivered,4860.01,0.2662,True,False
ORD-100480,2023-01-02 19:39:57,PRD-0043,Consumer Goods,Supplier-15,WH-East,550,421,17,262.54,2023-01-19 19:39:57,2,26,14080.23,North America,CUST-01080,Delivered,8047.92,0.4284,False,False
ORD-101181,2023-01-03 12:40:28,PRD-0060,Automotive Parts,Supplier-01,WH-South,428,265,22,233.15,2023-01-25 12:40:28,0,22,10102.41,Australia & Oceania,CUST-01234,Delivered,7599.06,0.2478,True,False
ORD-105304,2023-01-03 14:43:53,PRD-0044,Electronics,Supplier-01,WH-Central,412,291,28,346.9,2023-01-31 14:43:53,3,18,1901.79,North America,CUST-01193,Delivered,1160.79,0.3896,False,False
ORD-103160,2023-01-03 17:07:12,PRD-0031,Electronics,Supplier-03,WH-North,150,157,25,228.56,2023-01-28 17:07:12,0,13,6560.78,Europe,CUST-00155,Delivered,4549.3,0.3066,True,True
ORD-108108,2023-01-03 23:08:49,PRD-0047,Packaging Materials,Supplier-10,WH-East,666,485,24,315.58,2023-01-27 23:08:49,6,31,20711.71,Middle East & Africa,CUST-00558,Delivered,13291.23,0.3583,False,False
ORD-108608,2023-01-03 23:08:49,PRD-0051,Automotive Parts,Supplier-15,WH-South,425,402,17,390.62,2023-01-20 23:08:49,2,34,12815.89,Australia & Oceania,CUST-00670,Delivered,10051.54,0.2157,False,False
ORD-108868,2023-01-04 10:46:39,PRD-0011,Packaging Materials,Supplier-16,WH-North,266,177,19,271.43,2023-01-23 10:46:39,4,15,4134.26,Europe,CUST-00773,Delivered,2508.24,0.3933,False,False
ORD-104979,2023-01-04 10:46:39,PRD-0054,Electronics,Supplier-10,WH-West,488,337,20,402.13,2023-01-24 10:46:39,2,24,10807.68,Latin America,CUST-00529,Delivered,8033.64,0.2567,False,False
ORD-103540,2023-01-04 10:46:39,PRD-0037,Automotive Parts,Supplier-10,WH-West,367,332,18,370.95,2023-01-22 10:46:39,0,22,9978.82,Australia & Oceania,CUST-00212,Delivered,7704.42,0.2279,True,False
ORD-105992,2023-01-04 23:28:37,PRD-0019,Electronics,Supplier-07,WH-Central,105,91,13,268.87,2023-01-17 23:28:37,0,5,93.41,Latin America,CUST-01259,Delivered,67.77,0.2745,True,False
ORD-106139,2023-01-04 23:28:37,PRD-0055,Packaging Materials,Supplier-14,WH-North,136,162,24,406.87,2023-01-28 23:28:37,3,13,4261.86,Middle East & Africa,CUST-00075,Delivered,2763.22,0.3516,False,True
