Product Category,YearMonth,Units,Type
Automotive Parts,2023-01,773.0,Actual
Automotive Parts,2023-02,755.0,Actual
Automotive Parts,2023-03,773.0,Actual
Automotive Parts,2023-04,807.0,Actual
Automotive Parts,2023-05,915.0,Actual
Automotive Parts,2023-06,1012.0,Actual
Automotive Parts,2023-07,869.0,Actual
Automotive Parts,2023-08,1043.0,Actual
Automotive Parts,2023-09,1473.0,Actual
Automotive Parts,2023-10,1277.0,Actual
Automotive Parts,2023-11,1897.0,Actual
Automotive Parts,2023-12,1616.0,Actual
Automotive Parts,2024-01,886.0,Actual
Automotive Parts,2024-02,691.0,Actual
Automotive Parts,2024-03,831.0,Actual
Automotive Parts,2024-04,868.0,Actual
Automotive Parts,2024-05,1589.0,Actual
Automotive Parts,2024-06,734.0,Actual
Automotive Parts,2024-07,704.0,Actual
Automotive Parts,2024-08,852.0,Actual
Automotive Parts,2024-09,1169.0,Actual
Automotive Parts,2024-10,1307.0,Actual
Automotive Parts,2024-11,975.0,Actual
Automotive Parts,2024-12,1225.0,Actual
Automotive Parts,2025-01,635.0,Actual
Automotive Parts,2025-02,1007.0,Actual
Automotive Parts,2025-03,940.0,Actual
Automotive Parts,2025-04,1308.0,Actual
Automotive Parts,2025-05,1310.0,Actual
Automotive Parts,2025-06,1052.0,Actual
Automotive Parts,2025-07,1055.0,Actual
Automotive Parts,2025-08,724.0,Actual
Automotive Parts,2025-09,1202.0,Actual
Automotive Parts,2025-10,1287.0,Actual
Automotive Parts,2025-11,1260.0,Actual
Automotive Parts,2025-12,1021.0,Actual
Consumer Goods,2023-01,563.0,Actual
Consumer Goods,2023-02,569.0,Actual
Consumer Goods,2023-03,532.0,Actual
Consumer Goods,2023-04,681.0,Actual
Consumer Goods,2023-05,795.0,Actual
Consumer Goods,2023-06,600.0,Actual
Consumer Goods,2023-07,411.0,Actual
Consumer Goods,2023-08,667.0,Actual
Consumer Goods,2023-09,766.0,Actual
Consumer Goods,2023-10,765.0,Actual
Consumer Goods,2023-11,1002.0,Actual
Consumer Goods,2023-12,965.0,Actual
Consumer Goods,2024-01,427.0,Actual
Consumer Goods,2024-02,555.0,Actual
Consumer Goods,2024-03,575.0,Actual
Consumer Goods,2024-04,555.0,Actual
Consumer Goods,2024-05,1021.0,Actual
Consumer Goods,2024-06,641.0,Actual
Consumer Goods,2024-07,740.0,Actual
Consumer Goods,2024-08,434.0,Actual
Consumer Goods,2024-09,596.0,Actual
Consumer Goods,2024-10,798.0,Actual
Consumer Goods,2024-11,832.0,Actual
Consumer Goods,2024-12,856.0,Actual
Consumer Goods,2025-01,439.0,Actual
Consumer Goods,2025-02,431.0,Actual
Consumer Goods,2025-03,708.0,Actual
Consumer Goods,2025-04,541.0,Actual
Consumer Goods,2025-05,757.0,Actual
Consumer Goods,2025-06,539.0,Actual
Consumer Goods,2025-07,768.0,Actual
Consumer Goods,2025-08,661.0,Actual
Consumer Goods,2025-09,773.0,Actual
Consumer Goods,2025-10,871.0,Actual
Consumer Goods,2025-11,872.0,Actual
Consumer Goods,2025-12,1052.0,Actual
Electronics,2023-01,447.0,Actual
Electronics,2023-02,845.0,Actual
Electronics,2023-03,648.0,Actual
Electronics,2023-04,536.0,Actual
Electronics,2023-05,942.0,Actual
Electronics,2023-06,682.0,Actual
Electronics,2023-07,774.0,Actual
Electronics,2023-08,683.0,Actual
Electronics,2023-09,916.0,Actual
Electronics,2023-10,1327.0,Actual
Electronics,2023-11,1204.0,Actual
