Supplier,Orders,On_Time_Rate,Avg_Lead_Time,Cancelled_Rate,Total_Purchase_Cost,Avg_Transportation_Cost
Supplier-01,618,0.545,24.893203883495147,0.04,1906415.93,381.81088996763754
Supplier-02,290,0.552,6.165517241379311,0.014,734179.78,108.65113793103448
Supplier-03,929,0.552,26.08611410118407,0.028,4389408.24,404.10254574811626
Supplier-04,447,0.562,12.100671140939598,0.027,1058453.79,187.3086577181208
Supplier-05,589,0.593,26.918505942275043,0.032,2882760.76,417.11166383701186
Supplier-06,526,0.54,12.064638783269961,0.04,1375023.66,200.57711977186312
Supplier-07,143,0.545,14.895104895104895,0.035,11683.1,231.68555944055947
Supplier-08,305,0.593,21.059016393442622,0.03,961863.36,326.47483606557375
Supplier-09,469,0.557,8.046908315565032,0.034,1919305.0,140.74011727078891
Supplier-10,749,0.535,18.125500667556743,0.025,4579983.85,284.51015353805076
Supplier-11,591,0.562,16.97969543147208,0.037,1970746.6,269.9794923857868
Supplier-13,326,0.613,28.757668711656443,0.021,2946418.12,454.39457055214723
Supplier-14,280,0.507,21.071428571428573,0.046,626915.53,329.8418392857143
Supplier-15,903,0.569,15.016611295681063,0.028,3818994.71,237.08003875968993
Supplier-16,755,0.53,15.043708609271523,0.033,1459536.8699999999,241.76672185430465
Supplier-17,435,0.611,14.822988505747126,0.028,2761519.71,244.83541379310344
Supplier-18,645,0.636,24.91782945736434,0.009,1947763.51,391.23287596899223
