Supplier,Orders,On_Time_Rate,Avg_Lead_Time,Cancelled_Rate,Total_Purchase_Cost,Avg_Transportation_Cost,Cluster,Performance_Tier
Supplier-18,645,0.636,24.91782945736434,0.009,1947763.51,391.2328759689922,1,Needs Improvement
Supplier-13,326,0.613,28.757668711656443,0.021,2946418.12,454.3945705521472,1,Needs Improvement
Supplier-17,435,0.611,14.822988505747126,0.028,2761519.71,244.83541379310344,0,Strategic Partner
Supplier-08,305,0.593,21.059016393442626,0.03,961863.36,326.4748360655737,1,Needs Improvement
Supplier-05,589,0.593,26.918505942275043,0.032,2882760.76,417.1116638370119,1,Needs Improvement
Supplier-15,903,0.569,15.016611295681065,0.028,3818994.71,237.08003875968996,0,Strategic Partner
Supplier-04,447,0.562,12.100671140939598,0.027,1058453.79,187.3086577181208,0,Strategic Partner
Supplier-11,591,0.562,16.97969543147208,0.037,1970746.6,269.9794923857868,2,Reliable
Supplier-09,469,0.557,8.046908315565032,0.034,1919305.0,140.74011727078891,0,Strategic Partner
Supplier-03,929,0.552,26.08611410118407,0.028,4389408.24,404.10254574811626,1,Needs Improvement
Supplier-02,290,0.552,6.165517241379311,0.014,734179.78,108.65113793103448,0,Strategic Partner
Supplier-01,618,0.545,24.893203883495147,0.04,1906415.93,381.8108899676376,2,Reliable
Supplier-07,143,0.545,14.895104895104897,0.035,11683.1,231.68555944055947,2,Reliable
Supplier-06,526,0.54,12.06463878326996,0.04,1375023.66,200.57711977186312,2,Reliable
Supplier-10,749,0.535,18.125500667556743,0.025,4579983.85,284.5101535380508,2,Reliable
Supplier-16,755,0.53,15.043708609271524,0.033,1459536.87,241.76672185430465,2,Reliable
Supplier-14,280,0.507,21.071428571428573,0.046,626915.53,329.8418392857143,2,Reliable
